fps_value,total_trips,avg_trip_time,total_system_travel_time,total_subsidy_used,percentage_used,low_trip_count,middle_trip_count,high_trip_count,seed,source_path
5500.0,400,17.8525,7141.0,3356.5116800642663,61.02748509207757,176,119,105,18,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[18].kman.restech.unsw.edu.au/seed_18/trip_summary_by_fps.csv
5500.0,374,20.898395721925134,7816.0,5371.856066846674,97.67011030630316,154,135,85,19,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[19].kman.restech.unsw.edu.au/seed_19/trip_summary_by_fps.csv
5500.0,382,19.164921465968582,7321.0,5002.484995933122,90.9542726533295,174,148,60,20,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[20].kman.restech.unsw.edu.au/seed_20/trip_summary_by_fps.csv
5500.0,389,19.44987146529563,7566.0,3466.1944695335737,63.02171762788316,158,145,86,21,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[21].kman.restech.unsw.edu.au/seed_21/trip_summary_by_fps.csv
5500.0,379,20.203166226912927,7657.0,3860.760432055728,70.19564421919505,179,100,100,22,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[22].kman.restech.unsw.edu.au/seed_22/trip_summary_by_fps.csv
5500.0,378,20.73015873015873,7836.0,3549.5216522652154,64.536757313913,142,115,121,23,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[23].kman.restech.unsw.edu.au/seed_23/trip_summary_by_fps.csv
5500.0,386,22.147668393782386,8549.0,5500.0,100.0,134,173,79,24,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[24].kman.restech.unsw.edu.au/seed_24/trip_summary_by_fps.csv
5500.0,362,20.38950276243094,7381.0,3397.539364448216,61.77344298996756,162,95,105,25,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[25].kman.restech.unsw.edu.au/seed_25/trip_summary_by_fps.csv
5500.0,422,18.37440758293839,7754.0,4362.763079575565,79.32296508319209,162,147,113,26,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7518300[26].kman.restech.unsw.edu.au/seed_26/trip_summary_by_fps.csv
5500.0,385,17.625974025974028,6786.0,4212.1507788452745,76.58455961536863,163,108,114,27,/home/z5247491/MaaS-Simulation/MaaS-Centralised/Total_system_travel_time_seed_opt_runs/opt_seed_array_7514748[27].kman.restech.unsw.edu.au/seed_27/trip_summary_by_fps.csv
